,draw_cards,draw_tricks,p1wincards,p2wincards,p1wintricks,p2wintricks
"(000, 001)",21307,162670,594879,383814,543177,294153
"(000, 010)",21221,150268,330320,648459,262661,587071
"(000, 011)",26512,163362,324076,649412,266688,569950
"(000, 100)",2175,16550,2555,995270,6728,976722
"(000, 101)",24781,155016,343465,631754,273995,570989
"(000, 110)",12392,85516,82267,905341,76699,837785
"(000, 111)",23715,172727,487525,488760,413717,413556
"(001, 000)",21307,162670,383814,594879,294153,543177
"(001, 010)",14610,95932,842218,143172,774073,129995
"(001, 011)",8335,64744,940653,51012,875746,59510
"(001, 100)",468,35059,1686,997846,20658,944283
"(001, 101)",17350,109048,863862,118788,739083,151869
"(001, 110)",36813,169914,481536,481651,415308,414778
"(001, 111)",12389,85388,905663,81948,838230,76382
"(010, 000)",21221,150268,648459,330320,587071,262661
"(010, 001)",14610,95932,143172,842218,129995,774073
"(010, 011)",27158,140020,544858,427984,491883,368097
"(010, 100)",22167,144568,470202,507631,469612,385820
"(010, 101)",22397,181315,489100,488503,409853,408832
"(010, 110)",17429,108619,119259,863312,152938,738443
"(010, 111)",24445,154470,632416,343139,571470,274060
"(011, 000)",26512,163362,649412,324076,569950,266688
"(011, 001)",8335,64744,51012,940653,59510,875746
"(011, 010)",27158,140020,427984,544858,368097,491883
"(011, 100)",26595,136882,486135,487270,430867,432251
"(011, 101)",22097,144447,508219,469684,386013,469540
"(011, 110)",471,35086,997828,1701,944144,20770
"(011, 111)",2136,16606,995391,2473,976829,6565
"(100, 000)",2175,16550,995270,2555,976722,6728
"(100, 001)",468,35059,997846,1686,944283,20658
"(100, 010)",22167,144568,507631,470202,385820,469612
"(100, 011)",26595,136882,487270,486135,432251,430867
"(100, 101)",27521,140498,429087,543392,368647,490855
"(100, 110)",8089,64896,51226,940685,60080,875024
"(100, 111)",26126,162148,650294,323580,571255,266597
"(101, 000)",24781,155016,631754,343465,570989,273995
"(101, 001)",17350,109048,118788,863862,151869,739083
"(101, 010)",22397,181315,488503,489100,408832,409853
"(101, 011)",22097,144447,469684,508219,469540,386013
"(101, 100)",27521,140498,543392,429087,490855,368647
"(101, 110)",14500,96622,143254,842246,129922,773456
"(101, 111)",21109,150335,647984,330907,586564,263101
"(110, 000)",12392,85516,905341,82267,837785,76699
"(110, 001)",36813,169914,481651,481536,414778,415308
"(110, 010)",17429,108619,863312,119259,738443,152938
"(110, 011)",471,35086,1701,997828,20770,944144
"(110, 100)",8089,64896,940685,51226,875024,60080
"(110, 101)",14500,96622,842246,143254,773456,129922
"(110, 111)",21413,162330,383891,594696,294470,543200
"(111, 000)",23715,172727,488760,487525,413556,413717
"(111, 001)",12389,85388,81948,905663,76382,838230
"(111, 010)",24445,154470,343139,632416,274060,571470
"(111, 011)",2136,16606,2473,995391,6565,976829
"(111, 100)",26126,162148,323580,650294,266597,571255
"(111, 101)",21109,150335,330907,647984,263101,586564
"(111, 110)",21413,162330,594696,383891,543200,294470
